Id;Label;rank;Cluster;kingdom;phylum;class;order;family
1124;Filobasidiales;ORDER;31;Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;
1125;Cystofilobasidiales;ORDER;31;Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;
1129;Sporidiobolales;ORDER;31;Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;
1131;Leucosporidiales;ORDER;31;Fungi;Basidiomycota;Microbotryomycetes;Leucosporidiales;
1135;Entylomatales;ORDER;31;Fungi;Basidiomycota;Exobasidiomycetes;Entylomatales;
1138;Dacrymycetales;ORDER;31;Fungi;Basidiomycota;Dacrymycetes;Dacrymycetales;
1139;Cystobasidiales;ORDER;31;Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;
113956867;Acidiferrobacterales;ORDER;47;Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales;
1143;Agaricostilbales;ORDER;31;Fungi;Basidiomycota;Agaricostilbomycetes;Agaricostilbales;
1144;Russulales;ORDER;31;Fungi;Basidiomycota;Agaricomycetes;Russulales;
1145;Polyporales;ORDER;31;Fungi;Basidiomycota;Agaricomycetes;Polyporales;
1147;Paraglomerales;ORDER;31;Fungi;Glomeromycota;Glomeromycetes;Paraglomerales;
1148;Glomerales;ORDER;36;Fungi;Glomeromycota;Glomeromycetes;Glomerales;
1149;Archaeosporales;ORDER;36;Fungi;Glomeromycota;Glomeromycetes;Archaeosporales;
115379392;Vulgatibacteraceae;FAMILY;47;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Vulgatibacteraceae
115435898;Oligoflexia;CLASS;47;Bacteria;Proteobacteria;Oligoflexia;;
115437118;Oligoflexaceae;FAMILY;47;Bacteria;Proteobacteria;Oligoflexia;Oligoflexales;Oligoflexaceae
115437121;Oligoflexales;ORDER;47;Bacteria;Proteobacteria;Oligoflexia;Oligoflexales;
115441182;Anaeromyxobacteraceae;FAMILY;47;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Anaeromyxobacteraceae
