gbif_key;rank;scientificName;Length_min_mm;Length_max_mm;reference;remark;;
3210222;GENUS;Cercomonas;5;12;Protistology 3 (4), 201 217 (2004) Review of diversity and taxonomy of cercomonads Alexander P. Myl’nikov  and Serguei A. Karpov ;;;
3194398;GENUS;Hibberdia magna;0.06;0.06;The Freshwater Algal Flora of the British Isles: An Identification;;;
2181976;SPECIES;Histiostoma feroniarum;0.3;0.3;The Handbook of Mites of Economic Plants;;;
2188311;GENUS;Liochthonius sp. AD1300;0.174;0.198;The Soil Mites of the World: Vol. 1: Primitive Oribatids of the Palaearctic;European species;;
4555937;SPECIES;Neopsilenchus magnidens;0.66;0.99;The Tylenchidae of the World: Identification of the Family Tylenchidae ;;;
5167040;SPECIES;Tullbergia yosii;NA;NA;to be discarded;Japan species;;
2121983;GENUS;Crossodonthina koreana;NA;NA;to be discarded;;;
4410245;SPECIES;Eudrilus eugeniae;NA;NA;to be discarded;;;
2120985;GENUS;Seira barnardi;NA;NA;to be discarded;;;
8891999;SPECIES;Friesea grisea;NA;NA;to be discarded;;;
1032756;GENUS;Gliricola;NA;NA;to be discarded;vertebrate parasite;;
8198844;GENUS;Leptopharynx bromelicola;NA;NA;to be discarded;from tank bromeliads of Jamaica;;
2193785;GENUS;Pilogalumna rosauraruizae;NA;NA;to be discarded since recently described from Mexico;;;
1318887;SPECIES;Myrmica scabrinodis;4;5;www.antwiki.org;;;
7351754;GENUS;Vorticella;0.15;1;;;;
2284396;SPECIES;Aphelenchus avenae;0.472;1.194;;;;
2308289;SPECIES;Marionina sublitoralis;2;2;;;;
2069580;SPECIES;Rhopalosiphum padi;1.2;2.4;;;;
2076179;SPECIES;Myzus persicae;1.96;2.48;;;;
2308261;SPECIES;Enchytronia parva;0;3;;;;
4409889;SPECIES;Marionina minutissima;0;3;;;;
4409812;SPECIES;Enchytraeus norvegicus;3;3;;;;
7630327;SPECIES;Fridericia isseli;4;4;;;;
4445230;SPECIES;Choleva angustata;3;4;;;;
4438583;SPECIES;Tachyporus hypnorum;3;4;;;;
4409817;SPECIES;Enchytraeus bulbosus;4;4;;;;
4307714;SPECIES;Enchytraeus christenseni;3;5;;;;
2308295;SPECIES;Marionina communis;3;5;;;;
2119537;SPECIES;Campodea fragilis;3;5;;;;
4409880;SPECIES;Marionina filiformis;4;5;;;;
1181282;SPECIES;Sitona lineatus;4;5;;;;
4424949;SPECIES;Aphodius johnsoni;4.5;6;;;;
4409891;SPECIES;Marionina clavata;4;7;;;;
8265293;SPECIES;Achaeta affinis;5;8;;;;
4409927;SPECIES;Achaeta bohemica;8;8;;;;
2308382;SPECIES;Henlea perpusilla;4;9;;;;
2308272;SPECIES;Enchytraeus buchholzi;5;9;;;;
2308267;SPECIES;Enchytraeus lacteus;7;9;;;;
8391327;SPECIES;Achaeta bifollicula;8;10;;;;
8750602;SPECIES;Achaeta unibulba;8;10;;;;
8876572;SPECIES;Fridericia tuberosa;10;11;;;;
2308365;SPECIES;Fridericia paroniana;6;12;;;;
9053167;SPECIES;Fridericia sylvatica;6;12;;;;
5739693;SPECIES;Buchholzia fallax;7;12;;;;
7369804;SPECIES;Fridericia christeri;8;12;;;;
7441738;SPECIES;Fridericia sohlenii;10;13;;;;
4812533;SPECIES;Fridericia bisetosa;10;18;;;;
9430745;SPECIES;Chamaedrilus glandulosus;0;25;;;;
8922158;SPECIES;Chamaedrilus sphagnetorum;0;25;;;;
8142015;SPECIES;Fridericia connata;14;25;;;;
4812535;SPECIES;Fridericia galba;15;25;;;;
2308359;SPECIES;Fridericia ratzeli;15;30;;;;
2308269;SPECIES;Enchytraeus albidus;20;30;;;;
7618454;SPECIES;Fridericia magna;30;50;;;;
7834375;GENUS;Amphileptus;;;not found;;;
8167254;GENUS;Anteholosticha rectangula;;;not found;;;
7595878;SPECIES;Arcuospathidium namibiense;;;not found;;;
7618777;SPECIES;Bardeliella pulchra;;;not found;;;
7381412;SPECIES;Bicosoeca petiolata;;;not found;;;
4663886;GENUS;Blaberolaelaps;;;not found;;;
4898692;GENUS;Bodomorpha;;;not found;;;
1489006;SPECIES;Bradysia subrufescens;;;not found;;;
3201179;GENUS;Chlorellidium tetrabotrys;;;not found;;;
3195018;SPECIES;Epipyxis pulchra;;;not found;;;
;;Heterococcus caespitosus;;;not found;;;
3202687;SPECIES;Hyphochytrium catenoides;;;not found;;;
8041250;SPECIES;Lacrymaria marina;;;not found;;;
1611430;SPECIES;Lonchoptera lutea;;;not found;;;
7518643;SPECIES;Maryna ovata;;;not found;;;
8312129;GENUS;Mayamaea;;;not found;;;
4556202;SPECIES;Merlinius microdorus;;;not found;;;
4556197;SPECIES;Merlinius joctus;;;not found;;;
7787296;SPECIES;Meseres corlissi;;;not found;;;
2283674;GENUS;Mesorhabditis;;;not found;;;
3201190;GENUS;Mischococcus sphaerocephalus;;;not found;;;
7571206;SPECIES;Monilicaryon monilatum;;;not found;;;
;;Monocystis agilis;;;not found;;;
8360084;SPECIES;Mykophagophrys terricola;;;not found;;;
1789695;SPECIES;Noctua pronuba;;;not found;;;
7457456;SPECIES;Obertrumia georgiana;;;not found;;;
3194509;GENUS;Oikomonas;;;not found;;;
8951948;SPECIES;Orciraptor agilis;;;not found;;;
7990941;GENUS;Pentapharsodinium tyrrhenicum;;;not found;;;
4520829;SPECIES;Peyerimhoffia alpina;;;not found;;;
7779390;SPECIES;Phialina salinarum;;;not found;;;
8072867;SPECIES;Platyophrya vorax;;;not found;;;
9530095;GENUS;Platyreta germanica;;;not found;;;
3201319;GENUS;Pleurochloris meiringensis;;;not found;;;
4899951;GENUS;Poterioochromonas malhamensis;;;not found;;;
4899951;GENUS;Poterioochromonas stipitata;;;not found;;;
;;Protaspis obliqua;;;not found;;;
7468873;SPECIES;Pseudocyrtolophosis alpestris;;;not found;;;
2628789;SPECIES;Pseudo-nitzschia heimii;;;not found;;;
7365025;GENUS;Pseudouroleptus;;;not found;;;
7668387;SPECIES;Pseudovorticella punctata;;;not found;;;
7396624;GENUS;Pseudovorticella;;;not found;;;
7766976;SPECIES;Spathidium simplinucleatum;;;not found;;;
4653827;GENUS;Stigmalychus;;;not found;;;
4549547;SPECIES;Uropoda orbicularis;;;not found;;;
8299209;SPECIES;Vaucheria terrestris;;;not found;;;
