esp;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Conexibacter;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Conopodium;218;40;25;19;13;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cordyceps;245;42;26;20;14;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Corythion;70;6;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Craterocolla;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Crocinitomix;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Cryphonectria;163;34;21;15;10;8;5;4;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cryptococcus;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Cultellothrix;167;36;23;17;11;9;6;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cupriavidus;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Curvibacter;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Cylindroiulus;157;30;17;11;7;6;4;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cyphellophora;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Cystobacter;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Cystobasidium;261;52;27;20;14;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cytophaga;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Dactylis;231;40;25;19;13;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Dactylosporangium;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Dechloromonas;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Dechlorospirillum;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Dehalococcoides;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Delftia;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Demequina;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Denitratisoma;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Derxia;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Desmodesmus;179;38;24;18;12;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Desulfitobacterium;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Desulfotalea;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Desulfovibrio;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Desulfovirga;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Desulfuromonas;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Devosia;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Diaphanoeca;36;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Diaphorobacter;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Dictyosporium;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Dileptus;167;36;23;17;11;9;6;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Dinobryon;180;38;24;18;12;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Dioszegia;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
