"";"retained_tax";"class";"codeFW"
"359";"Lysobacter";13;"Opportunists::Bacterie"
"360";"Magnaporthe";9;"Parasitic::Magnaporthe"
"361";"Magnetospirillum";13;"Decomposers::Bacterie"
"362";"Mallomonas";17;"Phytophage::Algae"
"363";"Malonomonas";13;"Decomposers::Bacterie"
"364";"Marionina";3;"Saprophageous::Enchy"
"365";"Marmoricola";13;"Decomposers::Bacterie"
"366";"Martelella";13;"Decomposers::Bacterie"
"367";"Maryna";16;"Pred1attach::Protist"
"368";"Massilia";13;"Decomposers::Bacterie"
"369";"Massisteria";16;"Pred1attach::Protist"
"370";"Mayamaea";18;"Phototroph::Algae"
"371";"Megalothorax";6;"Saprofungivore::Collembole"
"372";"Melastiza";5;"Saprotroph::Fungi"
"373";"Meloidogyne";1;"Parasitic_p::Nematode"
"374";"Merlinius";1;"Parasitic_p::Nematode"
"375";"Meseres";14;"Pred1free::Protist"
"376";"Mesodorylaimus";7;"Non.selective::Nematode"
"377";"Mesorhabditis";12;"Bacterivorous::Nematode"
"378";"Mesorhizobium";13;"Decomposers::Bacterie"
"379";"Metarhizium";11;"Parasitic::Entomopath"
"380";"Metateratocephalus";12;"Bacterivorous::Nematode"
"381";"Methanomassiliicoccus";22;"Decomposers::Archae"
"382";"Methylobacillus";13;"Decomposers::Bacterie"
"383";"Methylobacterium";13;"Decomposers::Bacterie"
"384";"Methylocapsa";13;"Decomposers::Bacterie"
"385";"Methylocella";13;"Decomposers::Bacterie"
"386";"Methylophilus";13;"Decomposers::Bacterie"
"387";"Methylosinus";13;"Decomposers::Bacterie"
"388";"Micractinium";18;"Phototroph::Algae"
"389";"Microbacterium";13;"Decomposers::Bacterie"
"390";"Microlunatus";13;"Decomposers::Bacterie"
"391";"Micromonospora";13;"Decomposers::Bacterie"
"392";"Microvirga";13;"Decomposers::Bacterie"
"393";"Mischococcus";18;"Phototroph::Algae"
"394";"Monilicaryon";19;"Pred2free::Protist"
"395";"Monocystis";9;"Parasitic::Monocystis"
"396";"Monosiga";14;"Pred1free::Protist"
"397";"Moorella";13;"Decomposers::Bacterie"
"398";"Moraxella";13;"Opportunists::Bacterie"
"399";"Mortierella";5;"Saprotroph::Fungi"
"400";"Mucilaginibacter";13;"Decomposers::Bacterie"
"401";"Mucor";5;"Saprotroph::Fungi"
"402";"Multiclavula";5;"Saprotroph::Multiclavula "
"403";"Mycobacterium";13;"Decomposers::Bacterie"
"404";"Mycoplana";13;"Decomposers::Bacterie"
"405";"Mykophagophrys";4;"Fungivorous::Protist"
"406";"Myrmica";3;"Non.selective::Myrmica"
"407";"Myzus";3;"Phytophage::Myzus"
"408";"Nakamurella";13;"Decomposers::Bacterie"
"409";"Nannochloris";18;"Phototroph::Algae"
"410";"Nannocystis";13;"Decomposers::Bacterie"
"411";"Neobodo";15;"Bacterivorous::Protist"
"412";"Neopsilenchus";1;"Phytophage::Nematode"
"413";"Neourostylopsis";19;"Pred2free::Protist"
"414";"Niastella";13;"Decomposers::Bacterie"
"415";"Nitratireductor";13;"Decomposers::Bacterie"
"416";"Nitrosococcus";13;"Opportunists::Bacterie"
"417";"Nitrosopumilus";22;"Decomposers::Archae"
"418";"Nitrososphaera";22;"Decomposers::Archae"
"419";"Nitrosospira";13;"Decomposers::Bacterie"
"420";"Nitrospira";13;"Unknown::Bacterie"
"421";"Nitzschia";18;"Phototroph::Algae"
"422";"Nocardia";13;"Decomposers::Bacterie"
"423";"Nocardioides";13;"Decomposers::Bacterie"
"424";"Noctua";3;"Phytophage::Noctua"
"425";"Nolandella";16;"Pred1attach::Protist"
"426";"Nonomuraea";13;"Decomposers::Bacterie"
"427";"Notholca";14;"Pred1free::Protist"
"428";"Notiophilus";3;"Pred4::Carabidae"
"429";"Novosphingobium";13;"Decomposers::Bacterie"
"430";"Nuclearia";21;"Pred2attach::Protist"
"431";"Nygolaimus";20;"Pred3::Nematode"
"432";"Obertrumia";15;"Bacterivorous::Protist"
"433";"Occallatibacter";13;"Miners::Bacterie"
"434";"Ochrobactrum";13;"Decomposers::Bacterie"
"435";"Ochromonas";17;"Phytophage::Algae"
"436";"Octolasion";3;"Geophageous::Lumb"
"437";"Odontolaimus";20;"Pred3::Nematode"
"438";"Ohtaekwangia";13;"Decomposers::Bacterie"
"439";"Oikomonas";18;"Phototroph::Algae"
"440";"Oligoflexus";13;"Unknown::Bacterie"
"441";"Olpidium";9;"Parasitic::Olpidium"
"442";"Opitutus";13;"Decomposers::Bacterie"
"443";"Orbicula";5;"Lignotroph::Fungi"
"444";"Orbilia";5;"Saprotroph::Fungi"
"445";"Orchesella";6;"Saprofungivore::Collembole"
"446";"Orciraptor";23;"Algivorous::Protist"
"447";"Oricola";13;"Decomposers::Bacterie"
"448";"Oryzihumus";13;"Decomposers::Bacterie"
"449";"Otiorhynchus";3;"Phytophage::Otiorhynchus "
"450";"Oxytricha";14;"Pred1free::Protist"
"451";"Paenibacillus";13;"Decomposers::Bacterie"
"452";"Palaeospora";9;"ACM::Glomeromyc"
"453";"Palmellopsis";18;"Phototroph::Algae"
"454";"Panacibacter";13;"Decomposers::Bacterie"
"455";"Panaeolus";5;"Coprotroph::Basidiomycota"
"456";"Panagrolaimus";12;"Bacterivorous::Nematode"
"457";"Panorbis";5;"Saprotroph::Fungi"
"458";"Paracercomonas";16;"Pred1attach::Protist"
"459";"Parafilimonas";13;"Decomposers::Bacterie"
"460";"Paraglomus";9;"ACM::Glomeromyc"
"461";"Paraphysomonas";17;"Phytophage::Algae"
"462";"Paratylenchus";1;"Parasitic_p::Nematode"
"463";"Pasteuria";13;"Decomposers::Bacterie"
"464";"Paucimonas";13;"Decomposers::Bacterie"
"465";"Paulinella";16;"Pred1attach::Protist"
"466";"Pedobacter";13;"Decomposers::Bacterie"
"467";"Pedomicrobium";13;"Decomposers::Bacterie"
"468";"Pedosphaera";13;"Decomposers::Bacterie"
"469";"Pelobacter";13;"Decomposers::Bacterie"
"470";"Pelomonas";13;"Decomposers::Bacterie"
"471";"Pemphigus";3;"Phytophage::Pemphigus"
"472";"Penicillium";5;"Saprotroph::Fungi"
"473";"Peniophorella";5;"Saprotroph::Fungi"
"474";"Pentapharsodinium";18;"Phototroph::Algae"
"475";"Peregrinia";16;"Pred1attach::Protist"
"476";"Perlucidibaca";13;"Opportunists::Bacterie"
"477";"Persicaria";2;"Phototroph::Polygonaceae"
"478";"Peyerimhoffia";3;"Saprophage::Diptere"
"479";"Phacelia";2;"Phototroph::non-legume"
"480";"Phaeosphaeria";5;"Saprotroph::Fungi"
"481";"Phaselicystis";13;"Decomposers::Bacterie"
"482";"Phenylobacterium";13;"Decomposers::Bacterie"
"483";"Phialina";19;"Pred2free::Protist"
"484";"Pholiota";5;"Saprotroph::Fungi"
"485";"Phoma";1;"Parasitic::Phoma"
"486";"Phycisphaera";13;"Miners::Bacterie"
"487";"Phyllobacterium";13;"Decomposers::Bacterie"
"488";"Picea";2;"Phototroph::Pinales"
"489";"Pilogalumna";3;"Saprophage::Oribate"
"490";"Pinus";2;"Phototroph::Pinales"
"491";"Piptocephalis";5;"Saprotoph::Zoopagales"
"492";"Pirellula";13;"Miners::Bacterie"
"493";"Pisum";2;"Phototroph::Fabaceae"
"494";"Planctomyces";13;"Miners::Bacterie"
"495";"Platyophrya";16;"Pred1attach::Protist"
"496";"Platyreta";21;"Pred2attach::Protist"
"497";"Plectus";12;"Bacterivorous::Nematode"
"498";"Pleurochloris";18;"Phototroph::Algae"
"499";"Pluteus";5;"Saprotroph::Fungi"
"500";"Podura";6;"Saprofungivore::Collembole"
"501";"Polaromonas";13;"Decomposers::Bacterie"
"502";"Polyangium";13;"Decomposers::Bacterie"
"503";"Polydesmus";3;"Saprophage::Diplopode"
"504";"Polygonum";2;"Phototroph::Polygonaceae"
"505";"Polymyxa";9;"Pathogen::Polymyxa"
"506";"Pontibacter";13;"Decomposers::Bacterie"
"507";"Porphyrobacter";13;"Decomposers::Bacterie"
"508";"Porpoloma";5;"Saprotroph::Fungi"
"509";"Poterioochromonas";17;"Phytophage::Algae"
"510";"Pratylenchoides";1;"Parasitic_p::Nematode"
"511";"Pratylenchus";1;"Parasitic_p::Nematode"
"512";"Preussia";5;"Saprotroph::Fungi"
"513";"Prismatolaimus";12;"Bacterivorous::Nematode"
"514";"Proceropycnis";5;"Saprotroph::Fungi"
