"";"retained_tax";"class";"codeFW"
"370";"Scenedesmaceae";15;"Phototroph::Algae"
"371";"Sciaridae";16;"Saprophage::Diptere"
"372";"Sebacinaceae";13;"Saprotroph::Fungi"
"373";"Serpulaceae";13;"Lignotroph::Fungi"
"374";"Siluaniidae";4;"Pred1free::Protist"
"375";"Sinobacteraceae";5;"Opportunists::Bacterie"
"376";"Sminthuridae";2;"Saprofungivore::Collembole"
"377";"Sminthurididae";2;"Saprofungivore::Collembole"
"378";"Solanaceae";18;"Phototroph::Solanaceae"
"379";"Solibacteraceae";5;"Miners::Bacterie"
"380";"Solirubrobacteraceae";5;"Decomposers::Bacterie"
"381";"Spathidiidae";12;"Pred2free::Protist"
"382";"Sphaerobacteraceae";5;"Decomposers::Bacterie"
"383";"Sphaerobolaceae";13;"Saprotroph::Fungi"
"384";"Sphenoderiidae";7;"Pred1attach::Protist"
"385";"Sphingobacteriaceae";5;"Decomposers::Bacterie"
"386";"Sphingomonadaceae";5;"Decomposers::Bacterie"
"387";"Spirochaetaceae";5;"Unknown::Bacterie"
"388";"Spirofilidae";19;"Pred2attach::Protist"
"389";"Spizellomycetaceae";13;"Saprotroph::Fungi"
"390";"Sporichthyaceae";5;"Decomposers::Bacterie"
"391";"Sporidiobolaceae";13;"Saprotroph::Fungi"
"392";"Sporormiaceae";13;"Saprotroph::Fungi"
"393";"Staphylinidae";14;"Non.selective::Forficulidae"
"394";"Staphylococcaceae";5;"Decomposers::Bacterie"
"395";"Stemonitidae";7;"Pred1attach::Protist"
"396";"Stephanoecidae";4;"Pred1free::Protist"
"397";"Stereaceae";13;"Saprotroph::Fungi"
"398";"Streptomycetaceae";5;"Decomposers::Bacterie"
"399";"Streptosporangiaceae";5;"Decomposers::Bacterie"
"400";"Strophariaceae";13;"Saprotroph::Fungi"
"401";"Synchytriaceae";16;"Parasitic::Synchytrium"
"402";"Syntrophaceae";5;"Decomposers::Bacterie"
"403";"Syntrophobacteraceae";5;"Decomposers::Bacterie"
"404";"Taxaceae";18;"Phototroph::Taxaceae"
"405";"Tectocepheidae";16;"Saprophage::Oribate"
"406";"Tepidisphaeraceae";5;"Miners::Bacterie"
"407";"Teratocephalidae";6;"Bacterivorous::Nematode"
"408";"Tetrahymenidae";4;"Pred1free::Protist"
"409";"Tetranychidae";16;"Parasitic::Tetranychus"
"410";"Thaumatomastigidae";7;"Pred1attach::Protist"
"411";"Theridiidae";3;"Pred4::Robertus"
"412";"Thermoactinomycetaceae";5;"Decomposers::Bacterie"
"413";"Thermoanaerobacteraceae";5;"Decomposers::Bacterie"
"414";"Thermoleophilaceae";5;"Decomposers::Bacterie"
"415";"Thermomonosporaceae";5;"Decomposers::Bacterie"
"416";"Thripidae";17;"Parasitic::Thripinae"
"417";"Tipulidae";16;"Saprophage::Diptere"
"418";"Trachelostylidae";19;"Pred2attach::Protist"
"419";"Tribonemataceae";15;"Phototroph::Algae"
"420";"Trichocercidae";4;"Pred1free::Protist"
"421";"Trichocomaceae";13;"Saprotroph::Fungi"
"422";"Trichodoridae";17;"Parasitic_p::Nematode"
"423";"Tricholomataceae";13;"Saprotroph::Fungi"
"424";"Trichosporonaceae";13;"Saprotroph::Fungi"
"425";"Trinematidae";7;"Pred1attach::Protist"
"426";"Tripylidae";10;"Non.selective::Nematode"
"427";"Trypanosomatidae";16;"Parasitic::Trypanosomatidae"
"428";"Tubeufiaceae";13;"Saprotroph::Fungi"
"429";"Tullbergiidae";2;"Saprofungivore::Collembole"
"430";"Tylenchidae";17;"Phytophage::Nematode"
"431";"Tylencholaimidae";2;"Fungivorous::Nematode"
"432";"Tylenchulidae";17;"Parasitic_p::Nematode"
"433";"Uronematidae";4;"Pred1free::Protist"
"434";"Uropodidae";2;"Non.selective::Uropoda"
"435";"Urostylidae";19;"Pred2attach::Protist"
"436";"Urticaceae";18;"Phototroph::Urticaceae"
"437";"Vahlkampfiidae";8;"Bacterivorous::Protist"
