scientificName;originalscientificName;phylum_name;class_name;order_name;family_name;genus_name
Saccharophagus;uncultured Saccharophagus sp.;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Saccharophagus
Haliea;uncultured Haliea sp.;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Haliea
Nitrosococcus;uncultured Nitrosococcus sp.;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus
Thiohalospira;uncultured Thiohalospira sp.;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiohalospira
Thiorhodospira;uncultured Thiorhodospira sp.;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiorhodospira
Legionella;uncultured Legionella sp.;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella
Steroidobacter;uncultured Steroidobacter sp.;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Steroidobacter
Pseudomonas;uncultured Pseudomonas sp.;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Dokdonella;uncultured Dokdonella sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dokdonella
Dyella;uncultured Dyella sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dyella
Arenimonas;uncultured Arenimonas sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas
Lysobacter;uncultured Lysobacter sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter
Thermomonas;uncultured Thermomonas sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas
Xanthomonas;uncultured Xanthomonas sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas
Thripinae;Thripinae;Arthropoda;Insecta;Thysanoptera;Thripidae;NA
Hoplolaiminae;Hoplolaiminae;Nematoda;Chromadorea;Tylenchida;Hoplolaimidae;NA
Bacillariophycidae;Bacillariophycidae;Bacillariophyta;Bacillariophyceae;NA;NA;NA
unclassified Spumella;unclassified Spumella;Chrysophyceae;Chrysophyceae;Chromulinales;Chromulinaceae;Spumella
Apioideae;Apioideae;Streptophyta;NA;Apiales;Apiaceae;NA
Scandicinae;Scandicinae;Streptophyta;NA;Apiales;Apiaceae;NA
Asteroideae;Asteroideae;Streptophyta;NA;Asterales;Asteraceae;NA
Alsineae;Alsineae;Streptophyta;NA;Caryophyllales;Caryophyllaceae;NA
Papilionoideae;Papilionoideae;Streptophyta;NA;Fabales;Fabaceae;NA
fabids;fabids;Streptophyta;NA;NA;NA;NA
Dicranidae;Dicranidae;Streptophyta;Bryopsida;NA;NA;NA
Funariidae;Funariidae;Streptophyta;Bryopsida;NA;NA;NA
Petrosaviidae;Petrosaviidae;Streptophyta;Liliopsida;NA;NA;NA
Marsdenieae;Marsdenieae;Streptophyta;NA;Gentianales;Apocynaceae;NA
Plantagineae;Plantagineae;Streptophyta;NA;Lamiales;Plantaginaceae;NA
campanulids;campanulids;Streptophyta;NA;NA;NA;NA
Embryophyta;Embryophyta;Streptophyta;NA;NA;NA;NA
eudicotyledons;eudicotyledons;Streptophyta;NA;NA;NA;NA
Euphyllophyta;Euphyllophyta;Streptophyta;NA;NA;NA;NA
lamiids;lamiids;Streptophyta;NA;NA;NA;NA
rosids;rosids;Streptophyta;NA;NA;NA;NA
Pinidae;Pinidae;Streptophyta;NA;NA;NA;NA
Hordeinae;Hordeinae;Streptophyta;Liliopsida;Poales;Poaceae;NA
PACMAD clade;PACMAD clade;Streptophyta;Liliopsida;Poales;Poaceae;NA
Poeae;Poeae;Streptophyta;Liliopsida;Poales;Poaceae;NA
Poeae Chloroplast Group 1 (Aveneae type);Poeae Chloroplast Group 1 (Aveneae type);Streptophyta;Liliopsida;Poales;Poaceae;NA
Poeae Chloroplast Group 2 (Poeae type);Poeae Chloroplast Group 2 (Poeae type);Streptophyta;Liliopsida;Poales;Poaceae;NA
Pooideae;Pooideae;Streptophyta;Liliopsida;Poales;Poaceae;NA
Polygoneae;Polygoneae;Streptophyta;NA;Caryophyllales;Polygonaceae;NA
Polygonoideae;Polygonoideae;Streptophyta;NA;Caryophyllales;Polygonaceae;NA
Papaveroideae;Papaveroideae;Streptophyta;NA;Ranunculales;Papaveraceae;NA
Saliceae;Saliceae;Streptophyta;NA;Malpighiales;Salicaceae;NA
Solanoideae;Solanoideae;Streptophyta;NA;Solanales;Solanaceae;NA
Aphidinae;Aphidinae;Arthropoda;Insecta;Hemiptera;Aphididae;NA
Macrosiphini;Macrosiphini;Arthropoda;Insecta;Hemiptera;Aphididae;NA
Tylenchinae;Tylenchinae;Nematoda;Chromadorea;Tylenchida;Tylenchidae;NA
Sphenoderiidae;Sphenoderiidae;amoebozoa;NA;Euglyphida;Sphenoderiidae;NA
Tetrahymenina;Tetrahymenina;ciliata;Oligohymenophorea;Hymenostomatida;NA;NA
Stichotrichia;Stichotrichia;ciliata;Spirotrichea;NA;NA;NA
Gonostomum JS-2012;Gonostomum sp. JS-2012;ciliata;Spirotrichea;Sporadotrichida;Trachelostylidae;Gonostomum
Trichostomatia;Trichostomatia;ciliata;Litostomatea;NA;NA;NA
Gamasina;Gamasina;Arthropoda;Arachnida;Mesostigmata;NA;NA
Nygolaiminae;Nygolaiminae;Nematoda;Enoplea;Dorylaimida;Nygolaimidae;NA
Pleurostigmophora;Pleurostigmophora;Arthropoda;Chilopoda;NA;NA;NA
Entomobryoidea;Entomobryoidea;Arthropoda;Collembola;Collembola;NA;NA
Poduroidea;Poduroidea;Arthropoda;Collembola;Collembola;NA;NA
Entomobryoidea;Entomobryoidea;Arthropoda;Collembola;NA;NA;NA
Poduroidea;Poduroidea;Arthropoda;Collembola;NA;NA;NA
Lumbricinae;Lumbricinae;Annelida;Haplotaxida;Haplotaxida;Lumbricidae;NA
Lumbricidae;NA;Annelida;Haplotaxida;Haplotaxida;Lumbricidae;NA
Tipulinae;Tipulinae;Arthropoda;Insecta;Diptera;Tipulidae;NA
Ceratozetoidea;Ceratozetoidea;Arthropoda;Arachnida;Oribatida;NA;NA
Enchytraeus;NA;Annelida;Haplotaxida;Haplotaxida;Enchytraeidae;Enchytraeus
Fridericia;NA;Annelida;Haplotaxida;Haplotaxida;Enchytraeidae;Fridericia
Henlea;NA;Annelida;Haplotaxida;Haplotaxida;Enchytraeidae;Henlea
Tuber CBS 272 72;Tuber sp. CBS 272 72;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber
Elusimicrobium;uncultured Elusimicrobium sp.;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium
Fibrobacter;uncultured Fibrobacter sp.;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter
Fusobacterium;uncultured Fusobacterium sp.;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
Ignavibacterium;uncultured Ignavibacterium sp.;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium
Nitrospira;uncultured Nitrospira sp.;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira
Turneriella;uncultured Turneriella sp.;Spirochaetes;Spirochaetia;NA;Leptospiraceae;Turneriella
