;consumer_gbif_key;consumer_rank;consumer_name;interaction_type;resource_name;resource_gbif_key;resource_rank;reference;remark
131;7727825;SPECIES;Jaroschia sumptuosa;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
132;7802550;SPECIES;Kahliella simplex;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
133;7408216;SPECIES;Keronopsis dieckmanni;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
134;7580283;SPECIES;Kuehneltiella terricola;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
135;7566514;SPECIES;Lamtostyla abdita;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
136;7712450;SPECIES;Lamtostyla australis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
137;7549436;SPECIES;Lamtostyla granulifera;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
138;8429924;SPECIES;Lamtostyla islandica;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
139;7378359;SPECIES;Lamtostyla kirkeniensis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
140;8178931;SPECIES;Leptopharynx costatus;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
141;7550194;SPECIES;Metopus es;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
142;7583500;SPECIES;Notohymena antarctica;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
143;8016841;SPECIES;Notohymena rubescens;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
144;8106520;SPECIES;Odontochlamys alpestris;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
145;7625409;SPECIES;Onychodromopsis flexilis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
146;7892382;SPECIES;Orthoamphisiella franzi;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
147;7545388;SPECIES;Orthoamphisiella grelli;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
148;8307873;SPECIES;Oxytricha auripunctata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
149;8320870;SPECIES;Oxytricha gigantea;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
150;8187489;SPECIES;Oxytricha granulifera;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
151;8187489;SPECIES;Oxytricha granulifera;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
152;8296495;SPECIES;Oxytricha lanceolata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
153;8282405;SPECIES;Oxytricha longigranulosa;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
154;7514676;SPECIES;Oxytricha nauplia;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
